epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,20655.4,1.1657,0.84244,1.28566,0.81788,0.75177,0.85593,0.511,1.38199,0.79175,1.43072,0.00746667,0.00746667,0.00746667
97,20947.4,1.16128,0.83784,1.27484,0.75536,0.81024,0.85048,0.50428,1.38835,0.79027,1.42662,0.00744,0.00744,0.00744
98,21190.8,1.15871,0.85143,1.27755,0.7503,0.84161,0.84963,0.49677,1.40739,0.8145,1.42665,0.00741333,0.00741333,0.00741333
99,21463.6,1.14939,0.83038,1.26697,0.74551,0.82979,0.84748,0.49657,1.41538,0.82966,1.42969,0.00738667,0.00738667,0.00738667
100,21708.4,1.15503,0.83794,1.26732,0.79857,0.77791,0.85488,0.5039,1.39497,0.81924,1.41671,0.00736,0.00736,0.00736
101,21946.1,1.14894,0.83646,1.27069,0.79896,0.78014,0.84354,0.50333,1.39615,0.82364,1.41906,0.00733333,0.00733333,0.00733333
102,22181.1,1.14542,0.84486,1.27413,0.72773,0.84161,0.83269,0.49501,1.39815,0.83298,1.42697,0.00730667,0.00730667,0.00730667
103,22420.9,1.14517,0.83566,1.26904,0.75252,0.79196,0.83008,0.49992,1.39025,0.82227,1.41603,0.00728,0.00728,0.00728
104,22601.1,1.1286,0.80641,1.25122,0.75957,0.79905,0.83336,0.496,1.38901,0.83147,1.42111,0.00725333,0.00725333,0.00725333
105,22839.4,1.13365,0.81753,1.26768,0.77944,0.80203,0.83657,0.49645,1.3807,0.82403,1.41966,0.00722667,0.00722667,0.00722667
106,23079.8,1.121,0.81338,1.25645,0.80038,0.81797,0.84937,0.4965,1.39571,0.80866,1.43468,0.0072,0.0072,0.0072
107,23317.1,1.14216,0.82523,1.26474,0.79823,0.82033,0.85089,0.49913,1.4161,0.80983,1.47935,0.00717333,0.00717333,0.00717333
108,23422.7,1.13682,0.81739,1.25678,0.78401,0.82033,0.83801,0.49662,1.40773,0.82091,1.46754,0.00714667,0.00714667,0.00714667
109,23571.4,1.1307,0.81223,1.25634,0.79778,0.81324,0.83698,0.50009,1.39363,0.83416,1.44223,0.00712,0.00712,0.00712
110,23677.2,1.12214,0.81659,1.2553,0.8001,0.81377,0.83773,0.49993,1.39391,0.83028,1.44104,0.00709333,0.00709333,0.00709333
111,23841.2,1.11111,0.80261,1.24089,0.79403,0.80142,0.83264,0.49707,1.3981,0.82837,1.4441,0.00706667,0.00706667,0.00706667
112,24001.7,1.11166,0.79737,1.25066,0.78632,0.80142,0.83152,0.49508,1.40154,0.8271,1.44291,0.00704,0.00704,0.00704
113,24259.7,1.11531,0.8092,1.2502,0.77703,0.79196,0.82366,0.49293,1.39735,0.82292,1.4386,0.00701333,0.00701333,0.00701333
114,24392.6,1.09602,0.79596,1.24393,0.78187,0.79196,0.82609,0.49766,1.39819,0.81922,1.43836,0.00698667,0.00698667,0.00698667
115,24619.2,1.10161,0.7959,1.24211,0.78394,0.79669,0.8317,0.50104,1.40441,0.81255,1.44541,0.00696,0.00696,0.00696
116,24858.5,1.10873,0.79791,1.24308,0.76948,0.80142,0.82948,0.49831,1.40307,0.82183,1.44278,0.00693333,0.00693333,0.00693333
117,25005.5,1.09942,0.79671,1.23581,0.7765,0.80493,0.83301,0.49979,1.39941,0.81136,1.43855,0.00690667,0.00690667,0.00690667
118,25183.9,1.09627,0.79056,1.2367,0.77679,0.80615,0.83425,0.50434,1.40572,0.80722,1.44133,0.00688,0.00688,0.00688
